bombquestionid,bombquestion
1,"좋아하는 연예인(희극인, 배우, 가수, 유튜버등등)"
2,"좋아하는 계절(봄, 여름,가을,겨울, 어느 나라 계절)"
3,"공포물을 좋아하는지(깜놀 영화, 은은한 공포영화 등등)"
4,좋아하는 동물(호감가는 형태의 동물)
5,"좋아하는 향기, 느낌"
6,가장 최근에 좋아하게 된 것
7,좋아하는 색상
8,좋아하는 장르의 영화
9,좋아하는 음악 장르
10,즐겨입는 옷 스타일
11,여행 호불호
12,"좋아하는 여행지, 추억"
13,가본 국내 여행지
14,가본 해외 여행지
15,국내여행 vs 해외여행
16,가장 좋게 느꼈던 곳과 이유
17,"가고 싶은 여행지, 계획중인 내용"
18,가장 맛있었던 여행지 음식
19,혼자 여행가는 것을 즐기는지
20,"여행 목적과 스타일(관광,음식,휴식등)"
21,가장 최근에 간 여행지
22,"놀이공원, 놀이기구 호불호"
23,가장 최근에 본 영화
24,"좋아하는 게임, 게임 호불호"
25,해봤던 헤어스타일
26,자전거를 탈 수 있는지
27,"학과, 전공, 학교 앞 자취여부"
28,게임 호불호
29,가장 최근에 본 드라마 
30,가장 최근에 본 드라마
31,해본 적 있는 아르바이트
32,수영을 할 수 있는지
33,자전거를 탈 수 있는지
34,전공
35,자취 여부
36,가장 최근에 갔던 최애맛집이 있는지
37,옷스타일을 칭찬해보세요
38,"손, 손톱, 네일 칭찬해보세요"
39,"향수 뿌리는지, 좋아하는 향수 칭찬해보세요"
40,화장품 어떤 것 쓰는지 칭찬해보세요
41,액세서리 칭찬해보세요
42,발 사이즈 
43,요즘 가장 하고 싶은 것 묻기
44,취미 혹은 특기
45,생일
46,아침형 인간 vs 새벽형 인간
47,귀신의 존재를 믿는지
48,연예인을 만났던 경험
49,혈액형
50,"좋아하는 애완동물, 키우고 있는지"
51,가족 구성
52,운세나 사주 등을 보는지
53,쓰고 있는 휴대폰 기종
54,좋아하는 음식
55,떡볶이 브랜드 호불호
56,매운음식 호불호
57,민트초코 호불호
58,오이 호불호
59,못먹는 음식. 싫어하는 음식 
60,커피 호불호 
61,좋아하는 카페 메뉴
62,단골 식당
63,자신이 아는 맛집
64,파인애플 피자 호불호
65,베라 좋아하는 맛 TOP3
