id,quiz,istrue,descriptin
1,달팽이도 이빨이 있다.,1,
2,지하철 1량 (칸)에는 출입문이 모두 8개이다.,1,(양끝 합치면10개도 )
3,세계에서 제일 처음으로 텔레비전 방송을 시작한 나라는 영국이다.,1,
4,말도 잠을 잘 때는 사람과 같이 코를 곤다.,1,
5,셰익스피어 희곡 햄릿의 주인공인 햄릿은 네덜란드 사람이다.,0,(12c 덴마아크 왕자)
6,바늘 한 쌍은 모두 22개이다.,0,"(대, 중, 소 83=24)"
7,북두칠성은 시계의 반대 방향으로 회전한다.,1,
8,게의 다리는 모두 10개이다. ,1,"(문어, 낙지 8개)"
9,열대 지방에 자라는 나무에는 나이테가 없다. ,0,(기후 차가 없기 때문)
10,"늑대는 개 과, 호랑이는 고양이과에 속한다. 닭은 꿩과에 속한다.",1,
11,"여자들은 흔히 사용하는 화장용 크림은 약간 단맛이 나는데, 그 이유는 화장용 크림 속에 글리셀린 성분이 들어있기 때문이다.",1,"(글리셀린은 단맛, 유독성)"
12,벼룩은 암컷과 수컷 가운데 수컷의 몸집이 더 크다.,0,(암컷이 몸이 더크다)
13,딸기는 장미과에 속한다.,1,(장미과의 다년생 식물)
14,여의도 국회의사당을 둘러싸고 있는 돌기둥의 수는 모두 24개이다.,1,(24절기의 의미를 지니고 있음))
15,아라비아 숫자 1부터 100사이에는 9라는 숫자가 모두 19개 들어 있다.,0,"(20개, 99는 두 개)"
16,금강산은 경치가 아름다워 4계절마다 불리우는 이름이 다르다.,0,"(봄:금강산, 가을:풍악산, 여름:봉래산, 겨울:개골산)"
17,병아리도 배꼽이 있다.,1,
18,향수 선택법 : 향수를 바르게 고르려면 손등에 바른 후 10분 경과한 뒤에 냄새를 맡아보아야 한다.,1,
19,세계적으로 가장 많이 발생하는 병은 말라리아 (학질) 이다.,0,
20,세계 최초의 신용카드는 아메리칸 익스프레스이다.,0,(미국 다이너스클럽)
21,채찍이라는 뜻을 가진 '람바다'는 브라질 춤이다.,1,
22,밀물과 썰물 현상은 하루 2번씩 일어난다.,1,(12시간마다 1번씩)
23,고추 1관은 5Kg 이다. ,0,(6Kg)
24,조선시대 호패는 (주민등록증) 16세 이상 모든 남녀가 소지했다. ,0,(남자만)
25,인간의 뇌 세포는 재생이 안 되는 신체세포이다.,1,
26,"사람의 5가지 (시각, 후각, 미각, 청각, 촉각) 충에서 가장 먼저 나빠지는 감각기관은 시각이다.",1,
27,우리나라 최초의 대중가요는 1923년부터 불리워진 '희망가'이다.,0,(사의 찬미 1926년)
28,우리나라에서 가장 넓은 차선은 광화문 앞에 16차선이다. ,1,
29,시내버스 경로석은 6석 이상이 되어야 한다. ,1,
30,용은 십장생의 하나다. ,0,
31,일간신문은 3종 우편물이다. ,1,
32,물고기도 기침을 한다.  ,1,(오염된 물일수록 더 심하게 한다.)
33,사슴뿔은 매년 빠졌다 다시 난다. ,1,
34,사람의 땀은 산성이다. ,1,
35,소는 꿇어 낮을 때 앞 다리부터 앉는다. 그럼 말은 뒷다리부터 꿇어앉는다. ,1,
36,색소폰은 그 이름이 최초의 연주자 이름으로부터 유래된 것이다. ,1,
37,로댕의 생각하는 사람은 오른손으로 턱을 받치고 있다. ,1,
38,고대 원시인들의 가장 큰 적은 공룡이었다. ,0,(인류는 공룡이 멸종된 이후에 출현했기 때문에 원시인들의 적이 될 수 없다.)
39,남자와 여자의 목소리 중 멀리 들리는 것은 여자 목소리다. ,1,
40,달걀은 어린 닭이 낳은 것일수록 그 크기가 크다. ,0,
41,열대어가 입을 맞추는 것은 애정의 표현이다.  ,0,(수컷끼리 싸우는 것임)
42,축구 경기에서 사용되는 공은 흰색과 검은색으로 만들어야 한다. ,0,(배구공처럼 생긴 하얀색 공이 사용되기도 한다.)
43,마라톤은 42.195 Km를 달린다. 이 거리는 제1회 아테네 올림픽부터 채택된것이다.,0,
44,탱고의 고장은 '아르헨티나'다. ,1,
45,단오 날 여인들은 '청포' KFQ은 물로 머리를 감았다. ,0,
46,고래는 쉼 5M 이하의 물 속에서 잠을 잔다. ,0,(고래는 허파로 호흡하는 척추 동물이기 때문에 수면에서 잠을 잔다.)
47,위나라에서 최초로 지정된 구립 공원은 지리산이다. ,1,"(지리산 : 1967년, 설악산 : 1969년)"
48,역사상 한 여인이 가장 많은 아이를 낳은 출산기록이 60명 이하다. ,0,"(확인된 출산기록은 69명. 재정러시아시대 바실리에프란 여인의 기록으로 총 27회 출산중 16번의 쌍둥이, 7번의 세쌍둥이, 네 번의 네 쌍동이로 총 69 명이다.)"
49,"원숭이에게도 지문이 있다. 맞을까, 틀릴까? ",1,
50,호적법에 의하면 사람이 출생한 후 출생신고를 하게 되어 있다. 신고는 보름이내에 해야한다.,0,(한달 이내)
51,셰익스피어의 4대 비극의 하나인 '리어왕'의 주인공은 3명의 딸이 있다. ,1,
52,"윤선도의 '오우가'중 다섯 벗이란 물, 돌, 소나무, 대나무, 해이다. ",0,(해가 아니고 달이다.)
53,서울로 들어오는 중부고속도로 톨게이트의 입구에 파인 홈은 모두 14개이다. ,0,(직접 세어 보시면 아시겠지만 홈은 12개이다.)
54,"코끼리의 젖꼭지는 2개이고, 고양이는 8개이고, 사람과 고래의 젖꼭지는 2개이다. 그러면 곰의 젖꼭지는 4개이다. ",1,(자연농원에서 일하시는 사육사한테 물어본 결과 곰의 젖꼭지는 정확히 4개이다.)
55,"덴마아크의 3대 명물로는 나막신, 튜울립 그리고 풍차이다. ",1,(덴마아크는 수도가 코펜하겐으로 낙농업이 발달한 나라이다.)
56,파란 전등 밑에서 빨강 종이를 보면 보라색으로 보인다. ,0,(직접 시험해 보면 아시겠지만 검정색으로 보인다.)
57,기린의 목뼈는 모두 7개이다. 그러면 사람은 그보다 작은 5개이다. ,0,"(산돼지, 고래 등과 같은 포유동물은 목뼈가 길고 짧음에 관계없이 모두 7개이다.)"
58,서울 지하철 및 전철 호선을 갈아타는 곳은 20군데이다. ,1,(직접 세어 보시면 아시겠지만 20군데가 맞습니다.)
59,지상에 동물중 가장 키가 큰 동물인 기린의 울음소리는 말의 울음소리와 비슷하다.,1,(기린은 매우 뛰어난 시각과 청각으로 적을 발견하기 때문에 음성 기관은 자연 퇴화되 어 소리를 내지 못한다.)
60,빵은 순수한 우리말이다.  ,1,(포르투칼어에서 유래된 말)
61,옛 서당에도 오늘날의 반장이 있었다. ,1,(옛 서당에는 '접장' 이란 제도가 있었다.)
62,"차례 상을 차릴 때 흰 과일은 동쪽, 붉은 과일은 서쪽에 놓는다. ",1,
63,"북쪽을 가리키는 별은 북극성, 남쪽을 가리키는 별은 남십자성이다. ",1,
64,육상 선수가 한쪽 발에만 운동화를 신고 경기할 수 없다. ,0,
65,난중일기는 이순신 장군이 전사하기 한달 전까지 기록되어있다. ,1,
66,비행기의 출발시간이란 비행기의 탑승문이 완전히 닫힌 순간을 말한다. ,0,(날개를 펴고 이룩하려는 순간.)
67,백설공주에 나오는 일곱 난쟁이의 직업은 광부였다. ,1,
68,남극에도 우편번호가 있다. ,0,
69,수놈 캥거루가 앞발을 들고 권투하는 모습을 보여 주는 것은 암컷에 대한 프로포즈이다. ,1,
70,"대한극장 좌석 수는 1,920석이다.  ",1,(우리나라에서 가장 크다.)
71,버스의 무임 승차 나이는 6세 미만이다. ,1,
72,BUS라는 단어는 미국에서 처음 사용하였다.  ,0,(영국)
73,꺼벙이란 꿩의 새끼를 말한다. ,1,
74,고래는 보통 한 마리의 새끼를 낳고 명태는 약 30만개의 알을 한번에 낳는다.,1,
75,그리고 돼지는 보통 5마리 6마리의 새끼를 낳는다. ,0,(동물 협회에 의뢰해본 결과 돼지는 한번에 새끼를 7-8마리 낳는다.)
76,우리나라에서 김장철 김치에 쓰이는 무와 배추는 십자화과에 속한다. ,1,
77,영국의 위대한 극작가인 셰익스피어가 쓴 비극 '롬오와 줄리엣'에서 로미오가 더 오래 살았다.,1,(작품상에는 로미오가 먼저 죽고 줄리엣이 따라 죽었으나 당시 로미오는 16살이었고 줄리엣은 14살이었으므로 로미오가 훨씬 먼저 죽었다해도 두 살이나 많은 로미오가 더 오래 살았다.)
78,가장 강한 독을 가진 개구리 1마리의 독으로 사람을 2000명 이상을 죽일수 있다.,1,"(생물학자에게 물어본 결과 아프리카에 사는 식인 개구리는 한번의 독성으로 2,000명의 사람을 죽일 수 있다고 한다.)"
79,지하철 1자리에는 8명이 앉을 수 있다.  ,0,(지하철에서 일을 하는 승무원한테 물어본 결과 한자리에 앉을 수 있는 정원은 7명이다.)
80,우리 나라 주화 중 50원 짜리에 그려진 보리 알의 개수는 35개가 넘는다. ,0,(보리가 아니라 쌀이다.)
81,맥주를 많이 마시면 배가 나온다. ,0,(맥주를 마셔서가 아니라 같이 먹는 안주 때문에 배가 나오는 것이다.)
82,머리를 자주 감으면 머리카락이 빠진다. ,0,(머리카락이 빠지는 것은 자주 감아서가 아니라 잘 안 감기 때문에 빠지는 것이다.)
83,1부터 7까지 곱한 숫자가 1부터 100까지 더한 숫자보다 높다 ,0,"(1부터 7까지 곱한 숫자 ⇒5,040 / 1부터 100까지 더한 숫자⇒5,050)"
84,개구리를 먹던 살모사가 자기 혀를 깨물었을 경우 살모사는 죽는다. ,1,(자기의 독이긴 하지만 독이 식도를 통해 들어가면 간이 해독작용을 해서 살수가 있지만 혀를 깨물어서 혈관으로 직접 들어가면 죽는다)
85,"닭도 왼발잡이 , 오른발잡이가 있다. ",1,(닭은 자주 사용하는 부위가 맛있다고 한다. 닭은 일반적으로 왼발잡이가 많다고한다. 그래서 치킨을 먹을 때 맛있게 느껴지는 다리는 외발로 볼 수도 있다.)
86,다섯 손톱가운데 가장 잘 자라는 손톱은 엄지손톱이다. ,0,(장지 손톱 . 가장 자주 쓰는 손의 손톱이 잘 자란다. 일반적으로 엄지 손이 자주 사용되는 줄 알고 있지만 가장 긴 장지의 손톱이 물건에 가장 먼저 닿기 때문에 가장 많이 사용한다.)
87,색맹도 색깔이 있는 꿈을 꿀 수가 있다 ,0,(꿈은 경험한 것을 재료로 함.)
88,사마귀가 있는 사람과 키스를 하면 자신도 사마귀가 생긴다. ,1,(사마귀의 원인은 전염성이 강한 바이러스)
89,개 발에도 땀이 난다 ,0,(개 발에는 땀샘이 없다)
90,사람의 몸에서 가장 불결한 곳은 발가락이다 ,1,(일반적으로 항문이라고 생각하겠지만 항문은 자주 딱는 반면 발가락은 하루에 한 번 딱는 것이 보통이기 때문에 세균이 가장 많은 부분임)
91,새는 뒤로도 날 수 있다. ,1,
92,(제비를 자세히 관찰하면 미묘하게 뒤로 움직이는 것을 볼 수 있다),1,
93,한국 돌고래와 미국 돌고래는 말이 통한다. ,0,(돌고래는 약 700가지의 소리를 가지고 있으며 그것을 조합해 언어로 사용.지역차이에 영향을 받기 때문에 타 지역 돌고래와는 의사 교환이 안됨)
94,사람의 세포는 개미의 세포보다 크다. ,0,(세포의 크기는 모두 같다. 단 양의 차이일 뿐)
95,비행기의 블랙박스는 검은색이다. ,0,( 오렌지색 )
96,여객선의 출발 시간은 뱃고동을 통해 알린다. ,0,(뱃고동 소리는 승객과 선원 이외의 사람은 내려가라는 신호. 출발 시간은 로프를 푸는 시간부터)
97,남극을 갈 때도 비자가 필요하다. ,0,
98,위가 없어도 사람은 살 수 있다. ,1,(장이 위의 역할을 대신 한다.)
99,"지구에서 육안으로 한 번에 볼 수 있는 별의 숫자는 약 4,000개 정도이다.",0,"(약 2,500개. 광학 카메라 이용 시 7,000개.)"
